1.00	5.10	3.50	1.40	0.20
1.00	4.90	3.00	1.40	0.20
1.00	4.70	3.20	1.30	0.20
1.00	4.60	3.10	1.50	0.20
1.00	5.00	3.60	1.40	0.20
1.00	5.40	3.90	1.70	0.40
1.00	4.60	3.40	1.40	0.30
1.00	5.00	3.40	1.50	0.20
1.00	4.40	2.90	1.40	0.20
1.00	4.90	3.10	1.50	0.10
1.00	5.40	3.70	1.50	0.20
1.00	4.80	3.40	1.60	0.20
1.00	4.80	3.00	1.40	0.10
1.00	4.30	3.00	1.10	0.10
1.00	5.80	4.00	1.20	0.20
1.00	5.70	4.40	1.50	0.40
1.00	5.40	3.90	1.30	0.40
1.00	5.10	3.50	1.40	0.30
1.00	5.70	3.80	1.70	0.30
1.00	5.10	3.80	1.50	0.30
1.00	5.40	3.40	1.70	0.20
1.00	5.10	3.70	1.50	0.40
1.00	4.60	3.60	1.00	0.20
1.00	5.10	3.30	1.70	0.50
1.00	4.80	3.40	1.90	0.20
1.00	5.00	3.00	1.60	0.20
1.00	5.00	3.40	1.60	0.40
1.00	5.20	3.50	1.50	0.20
1.00	5.20	3.40	1.40	0.20
1.00	4.70	3.20	1.60	0.20
1.00	4.80	3.10	1.60	0.20
1.00	5.40	3.40	1.50	0.40
1.00	5.20	4.10	1.50	0.10
1.00	5.50	4.20	1.40	0.20
1.00	4.90	3.10	1.50	0.10
1.00	5.00	3.20	1.20	0.20
1.00	5.50	3.50	1.30	0.20
1.00	4.90	3.10	1.50	0.10
1.00	4.40	3.00	1.30	0.20
1.00	5.10	3.40	1.50	0.20
1.00	5.00	3.50	1.30	0.30
1.00	4.50	2.30	1.30	0.30
1.00	4.40	3.20	1.30	0.20
1.00	5.00	3.50	1.60	0.60
1.00	5.10	3.80	1.90	0.40
1.00	4.80	3.00	1.40	0.30
1.00	5.10	3.80	1.60	0.20
1.00	4.60	3.20	1.40	0.20
1.00	5.30	3.70	1.50	0.20
1.00	5.00	3.30	1.40	0.20
