0.00	6.30	3.30	6.00	2.50
0.00	5.80	2.70	5.10	1.90
0.00	7.10	3.00	5.90	2.10
0.00	6.30	2.90	5.60	1.80
0.00	6.50	3.00	5.80	2.20
0.00	7.60	3.00	6.60	2.10
0.00	4.90	2.50	4.50	1.70
0.00	7.30	2.90	6.30	1.80
0.00	6.70	2.50	5.80	1.80
0.00	7.20	3.60	6.10	2.50
0.00	6.50	3.20	5.10	2.00
0.00	6.40	2.70	5.30	1.90
0.00	6.80	3.00	5.50	2.10
0.00	5.70	2.50	5.00	2.00
0.00	5.80	2.80	5.10	2.40
0.00	6.40	3.20	5.30	2.30
0.00	6.50	3.00	5.50	1.80
0.00	7.70	3.80	6.70	2.20
0.00	7.70	2.60	6.90	2.30
0.00	6.00	2.20	5.00	1.50
0.00	6.90	3.20	5.70	2.30
0.00	5.60	2.80	4.90	2.00
0.00	7.70	2.80	6.70	2.00
0.00	6.30	2.70	4.90	1.80
0.00	6.70	3.30	5.70	2.10
0.00	7.20	3.20	6.00	1.80
0.00	6.20	2.80	4.80	1.80
0.00	6.10	3.00	4.90	1.80
0.00	6.40	2.80	5.60	2.10
0.00	7.20	3.00	5.80	1.60
0.00	7.40	2.80	6.10	1.90
0.00	7.90	3.80	6.40	2.00
0.00	6.40	2.80	5.60	2.20
0.00	6.30	2.80	5.10	1.50
0.00	6.10	2.60	5.60	1.40
0.00	7.70	3.00	6.10	2.30
0.00	6.30	3.40	5.60	2.40
0.00	6.40	3.10	5.50	1.80
0.00	6.00	3.00	4.80	1.80
0.00	6.90	3.10	5.40	2.10
0.00	6.70	3.10	5.60	2.40
0.00	6.90	3.10	5.10	2.30
0.00	5.80	2.70	5.10	1.90
0.00	6.80	3.20	5.90	2.30
0.00	6.70	3.30	5.70	2.50
0.00	6.70	3.00	5.20	2.30
0.00	6.30	2.50	5.00	1.90
0.00	6.50	3.00	5.20	2.00
0.00	6.20	3.40	5.40	2.30
0.00	5.90	3.00	5.10	1.80
